species,year,mean_gsv_scaled
Abudefduf saxatilis,2013,0.7246763950193228
Abudefduf saxatilis,2014,100
Abudefduf saxatilis,2015,63.28669034335373
Abudefduf saxatilis,2016,79.13582743307057
Abudefduf saxatilis,2017,5.747687005115073
Abudefduf saxatilis,2018,3.230815309650501
Abudefduf saxatilis,2019,35.765960446389265
Abudefduf saxatilis,2020,18.064892200720106
Abudefduf saxatilis,2021,20.66260168790068
Abudefduf saxatilis,2022,1.9476076949716041
Abudefduf saxatilis,2023,1.9510720318338004
Abudefduf saxatilis,2024,4.2521509037138845
Abudefduf vaigiensis,2013,100
Abudefduf vaigiensis,2014,0.6598799622089305
Abudefduf vaigiensis,2015,34.700098203739685
Abudefduf vaigiensis,2016,4.958468446969816
Abudefduf vaigiensis,2017,0.8427912403466038
Abudefduf vaigiensis,2018,11.05323607360871
Abudefduf vaigiensis,2019,0.8759663236975622
Abudefduf vaigiensis,2020,0
Abudefduf vaigiensis,2021,13.697014004052594
Abudefduf vaigiensis,2022,0.1385092582011487
Abudefduf vaigiensis,2023,0
Abudefduf vaigiensis,2024,0
Acanthocybium solandri,2013,6.504753095044938
Acanthocybium solandri,2014,3.1411933314610585
Acanthocybium solandri,2015,100
Acanthocybium solandri,2016,6.218058914387861
Acanthocybium solandri,2017,8.593556701076622
Acanthocybium solandri,2018,3.1893675388239022
Acanthocybium solandri,2019,8.849305000287314
Acanthocybium solandri,2020,12.785392445307012
Acanthocybium solandri,2021,5.401195106446841
Acanthocybium solandri,2022,18.742648322348963
Acanthocybium solandri,2023,12.629945620232688
Acanthocybium solandri,2024,16.141746450635416
Acantholabrus palloni,2013,0
Acantholabrus palloni,2014,33.68042209761891
Acantholabrus palloni,2015,30.138804499241424
Acantholabrus palloni,2016,0
Acantholabrus palloni,2017,0
Acantholabrus palloni,2018,0
Acantholabrus palloni,2019,100
Acantholabrus palloni,2020,0
Acantholabrus palloni,2021,47.504850475730564
Acantholabrus palloni,2022,14.683250230811723
Acantholabrus palloni,2023,0
Acantholabrus palloni,2024,0.4871102103653193
Acanthopagrus bifasciatus,2013,72.97201974739227
Acanthopagrus bifasciatus,2014,17.641708620582072
Acanthopagrus bifasciatus,2015,37.38100764527757
Acanthopagrus bifasciatus,2016,9.081102859166029
Acanthopagrus bifasciatus,2017,0.9496040132986873
Acanthopagrus bifasciatus,2018,83.5252212183808
Acanthopagrus bifasciatus,2019,0
Acanthopagrus bifasciatus,2020,0
Acanthopagrus bifasciatus,2021,0
Acanthopagrus bifasciatus,2022,0.7864751164130654
Acanthopagrus bifasciatus,2023,100
Acanthopagrus bifasciatus,2024,9.644148437202261
Acanthostracion notacanthus,2013,0
Acanthostracion notacanthus,2014,100
Acanthostracion notacanthus,2015,28.60192834183034
Acanthostracion notacanthus,2016,4.9639260166332955
Acanthostracion notacanthus,2017,26.222066203378347
Acanthostracion notacanthus,2018,3.5078444553994252
Acanthostracion notacanthus,2019,34.352263514435826
Acanthostracion notacanthus,2020,7.722158589446673
Acanthostracion notacanthus,2021,35.082290089764214
Acanthostracion notacanthus,2022,28.15247879467687
Acanthostracion notacanthus,2023,60.23689149112735
Acanthostracion notacanthus,2024,1.069589318074112
Acanthostracion quadricornis,2013,1.1790039025057133
Acanthostracion quadricornis,2014,0
Acanthostracion quadricornis,2015,0
Acanthostracion quadricornis,2016,8.394058493872242
Acanthostracion quadricornis,2017,100
Acanthostracion quadricornis,2018,0.9233390174184236
Acanthostracion quadricornis,2019,2.339265832966584
Acanthostracion quadricornis,2020,3.23080141130535
Acanthostracion quadricornis,2021,0.12747854111324397
Acanthostracion quadricornis,2022,8.314556828239777
Acanthostracion quadricornis,2023,0.06650314226154408
Acanthostracion quadricornis,2024,17.836766263558086
Acanthurus monroviae,2013,0.9647310129680904
Acanthurus monroviae,2014,2.4191760032588077
Acanthurus monroviae,2015,8.866236912078062
Acanthurus monroviae,2016,4.9137979084188075
Acanthurus monroviae,2017,7.721662389126356
Acanthurus monroviae,2018,0.5762332291640653
Acanthurus monroviae,2019,100
Acanthurus monroviae,2020,0.05190332500753298
Acanthurus monroviae,2021,0.39094886245281124
Acanthurus monroviae,2022,0
Acanthurus monroviae,2023,0.927234478970127
Acanthurus monroviae,2024,1.0385055893093873
Acipenser naccarii,2013,31.681476686605375
Acipenser naccarii,2014,100
Acipenser naccarii,2015,2.780263565468941
Acipenser naccarii,2016,18.72842411923985
Acipenser naccarii,2017,0.3754866764681388
Acipenser naccarii,2018,10.008491613304612
Acipenser naccarii,2019,11.455587664742692
Acipenser naccarii,2020,1.9533810672004648
Acipenser naccarii,2021,12.975733336414608
Acipenser naccarii,2022,1.4986178752482542
Acipenser naccarii,2023,0.24360338312020943
Acipenser naccarii,2024,6.0248333674358525
Acipenser stellatus,2013,31.88327851015968
Acipenser stellatus,2014,18.678810421156253
Acipenser stellatus,2015,52.35851297612607
Acipenser stellatus,2016,100
Acipenser stellatus,2017,99.24217530485056
Acipenser stellatus,2018,62.86834329749307
Acipenser stellatus,2019,86.85413031218012
Acipenser stellatus,2020,87.91439833490658
Acipenser stellatus,2021,64.8583189036056
Acipenser stellatus,2022,92.86813673126832
Acipenser stellatus,2023,76.28492558834559
Acipenser stellatus,2024,88.16659369195085
Acipenser sturio,2013,47.65955672715189
Acipenser sturio,2014,85.18486298630245
Acipenser sturio,2015,63.457659115442965
Acipenser sturio,2016,61.206206995569424
Acipenser sturio,2017,39.77354609814054
Acipenser sturio,2018,95.92523828972992
Acipenser sturio,2019,100
Acipenser sturio,2020,68.02702878995939
Acipenser sturio,2021,70.95773203279221
Acipenser sturio,2022,87.3646809639553
Acipenser sturio,2023,89.77956941346554
Acipenser sturio,2024,56.08730341373964
Aetomylaeus bovinus,2013,100
Aetomylaeus bovinus,2014,54.19954616026145
Aetomylaeus bovinus,2015,74.22276225700253
Aetomylaeus bovinus,2016,17.52225068974304
Aetomylaeus bovinus,2017,12.740088187831834
Aetomylaeus bovinus,2018,4.813866828975505
Aetomylaeus bovinus,2019,29.478986410507453
Aetomylaeus bovinus,2020,2.5933102987790217
Aetomylaeus bovinus,2021,6.301744723488166
Aetomylaeus bovinus,2022,20.7849875107876
Aetomylaeus bovinus,2023,13.480900270163367
Aetomylaeus bovinus,2024,17.189834685210094
Aidablennius sphynx,2013,35.47012197383273
Aidablennius sphynx,2014,0
Aidablennius sphynx,2015,40.36998624431909
Aidablennius sphynx,2016,0
Aidablennius sphynx,2017,5.617784922045643
Aidablennius sphynx,2018,4.221773835822338
Aidablennius sphynx,2019,12.464806913662612
Aidablennius sphynx,2020,100
Aidablennius sphynx,2021,0
Aidablennius sphynx,2022,4.728060730381963
Aidablennius sphynx,2023,28.970063887681796
Aidablennius sphynx,2024,0
Alectis alexandrina,2013,0
Alectis alexandrina,2014,100
Alectis alexandrina,2015,35.41220261242234
Alectis alexandrina,2016,0.2560413345552536
Alectis alexandrina,2017,4.822761499226669
Alectis alexandrina,2018,2.824523309295231
Alectis alexandrina,2019,0.8332640858555519
Alectis alexandrina,2020,0.09078505349154889
Alectis alexandrina,2021,0
Alectis alexandrina,2022,1.3099514856935628
Alectis alexandrina,2023,23.03594914422735
Alectis alexandrina,2024,0
Alepes djedaba,2013,51.78744495589335
Alepes djedaba,2014,53.075461659962954
Alepes djedaba,2015,53.85747083832525
Alepes djedaba,2016,100
Alepes djedaba,2017,16.354872293333365
Alepes djedaba,2018,14.244965207188487
Alepes djedaba,2019,8.456540747194293
Alepes djedaba,2020,0
Alepes djedaba,2021,0
Alepes djedaba,2022,0
Alepes djedaba,2023,16.144295265477883
Alepes djedaba,2024,7.627507460979505
Alepisaurus ferox,2013,5.438676846344774
Alepisaurus ferox,2014,80.98294922189515
Alepisaurus ferox,2015,15.071030061603455
Alepisaurus ferox,2016,6.408961496986362
Alepisaurus ferox,2017,28.615551956446577
Alepisaurus ferox,2018,100
Alepisaurus ferox,2019,15.655975128013944
Alepisaurus ferox,2020,56.362455633018
Alepisaurus ferox,2021,95.6969528136451
Alepisaurus ferox,2022,0.7120640747551219
Alepisaurus ferox,2023,5.105035757260907
Alepisaurus ferox,2024,2.156763837205138
Alepocephalus rostratus,2013,100
Alepocephalus rostratus,2014,9.982434719570385
Alepocephalus rostratus,2015,0
Alepocephalus rostratus,2016,4.988804055761258
Alepocephalus rostratus,2017,0
Alepocephalus rostratus,2018,54.68900702655952
Alepocephalus rostratus,2019,39.02670843073785
Alepocephalus rostratus,2020,0
Alepocephalus rostratus,2021,0.9282529344961817
Alepocephalus rostratus,2022,8.052062842373623
Alepocephalus rostratus,2023,46.64083700280237
Alepocephalus rostratus,2024,4.245039914855318
Alopias superciliosus,2013,17.857655030625093
Alopias superciliosus,2014,100
Alopias superciliosus,2015,29.735178566560744
Alopias superciliosus,2016,21.23175766664853
Alopias superciliosus,2017,56.03046818387575
Alopias superciliosus,2018,42.646536838112546
Alopias superciliosus,2019,60.590358355344264
Alopias superciliosus,2020,50.404148311272046
Alopias superciliosus,2021,24.295311732636296
Alopias superciliosus,2022,36.72480604432427
Alopias superciliosus,2023,29.93507372741191
Alopias superciliosus,2024,31.703975515689976
Alopias vulpinus,2013,8.32143401302654
Alopias vulpinus,2014,7.397021604521292
