species,country,sum_gsv_scaled
Abudefduf saxatilis,Albania,21.110997162565116
Abudefduf saxatilis,Algeria,2.2623393666976623
Abudefduf saxatilis,Bosnia and Herzegovina,10.224393836410808
Abudefduf saxatilis,Bulgaria,8.442701205416457
Abudefduf saxatilis,Croatia,4.230206305663456
Abudefduf saxatilis,Cyprus,12.13491144129198
Abudefduf saxatilis,Egypt,6.063585063140941
Abudefduf saxatilis,France,1.4245714252028452
Abudefduf saxatilis,Georgia,NA
Abudefduf saxatilis,Greece,NA
Abudefduf saxatilis,Israel,NA
Abudefduf saxatilis,Italy,0.614135955608938
Abudefduf saxatilis,Lebanon,12.019564954617328
Abudefduf saxatilis,Libya,NA
Abudefduf saxatilis,Malta,100
Abudefduf saxatilis,Monaco,NA
Abudefduf saxatilis,Montenegro,NA
Abudefduf saxatilis,Morocco,3.5144265433659903
Abudefduf saxatilis,Romania,NA
Abudefduf saxatilis,Russia,0.3057343385176278
Abudefduf saxatilis,Slovenia,NA
Abudefduf saxatilis,Spain,0.8724300359682043
Abudefduf saxatilis,Syria,15.027907489759517
Abudefduf saxatilis,Tunisia,NA
Abudefduf saxatilis,Turkey,0.6997384682086244
Abudefduf saxatilis,Ukraine,1.5409925808783527
Abudefduf vaigiensis,Albania,5.781995518936549
Abudefduf vaigiensis,Algeria,NA
Abudefduf vaigiensis,Bosnia and Herzegovina,NA
Abudefduf vaigiensis,Bulgaria,1.0108260117046461
Abudefduf vaigiensis,Croatia,NA
Abudefduf vaigiensis,Cyprus,9.117832914768927
Abudefduf vaigiensis,Egypt,0.7854077426873298
Abudefduf vaigiensis,France,0.11916425897483497
Abudefduf vaigiensis,Georgia,NA
Abudefduf vaigiensis,Greece,NA
Abudefduf vaigiensis,Israel,0.5980992008933695
Abudefduf vaigiensis,Italy,NA
Abudefduf vaigiensis,Lebanon,NA
Abudefduf vaigiensis,Libya,10.343252142870927
Abudefduf vaigiensis,Malta,20.030906728031024
Abudefduf vaigiensis,Monaco,100
Abudefduf vaigiensis,Montenegro,14.577431198201696
Abudefduf vaigiensis,Morocco,1.8030894316773023
Abudefduf vaigiensis,Romania,NA
Abudefduf vaigiensis,Russia,0.10299165919057114
Abudefduf vaigiensis,Slovenia,NA
Abudefduf vaigiensis,Spain,NA
Abudefduf vaigiensis,Syria,2.3429358494770196
Abudefduf vaigiensis,Tunisia,NA
Abudefduf vaigiensis,Turkey,NA
Abudefduf vaigiensis,Ukraine,0.3120308554108434
Acanthocybium solandri,Albania,5.628722815335796
Acanthocybium solandri,Algeria,NA
Acanthocybium solandri,Bosnia and Herzegovina,2.785993005480587
Acanthocybium solandri,Bulgaria,NA
Acanthocybium solandri,Croatia,1.6969273420297748
Acanthocybium solandri,Cyprus,NA
Acanthocybium solandri,Egypt,6.435011747051413
Acanthocybium solandri,France,20.160799742217865
Acanthocybium solandri,Georgia,NA
Acanthocybium solandri,Greece,1.2070973771796139
Acanthocybium solandri,Israel,5.766920612875716
Acanthocybium solandri,Italy,9.596480759412858
Acanthocybium solandri,Lebanon,3.1804374962654256
Acanthocybium solandri,Libya,NA
Acanthocybium solandri,Malta,NA
Acanthocybium solandri,Monaco,100
Acanthocybium solandri,Montenegro,NA
Acanthocybium solandri,Morocco,1.0329695783582147
Acanthocybium solandri,Romania,NA
Acanthocybium solandri,Russia,11.58395137254559
Acanthocybium solandri,Slovenia,4.69660301116131
Acanthocybium solandri,Spain,21.4584276339601
Acanthocybium solandri,Syria,6.6589388563685885
Acanthocybium solandri,Tunisia,1.407053930154791
Acanthocybium solandri,Turkey,1.6656237699333252
Acanthocybium solandri,Ukraine,0.4273670522494731
Acantholabrus palloni,Albania,NA
Acantholabrus palloni,Algeria,NA
Acantholabrus palloni,Bosnia and Herzegovina,57.467045220819365
Acantholabrus palloni,Bulgaria,NA
Acantholabrus palloni,Croatia,7.787337615959331
Acantholabrus palloni,Cyprus,35.24926268715726
Acantholabrus palloni,Egypt,NA
Acantholabrus palloni,France,0.49190939315347487
Acantholabrus palloni,Georgia,NA
Acantholabrus palloni,Greece,6.129989137344586
Acantholabrus palloni,Israel,5.921520345377724
Acantholabrus palloni,Italy,NA
Acantholabrus palloni,Lebanon,NA
Acantholabrus palloni,Libya,100
Acantholabrus palloni,Malta,NA
Acantholabrus palloni,Monaco,NA
Acantholabrus palloni,Montenegro,NA
Acantholabrus palloni,Morocco,NA
Acantholabrus palloni,Romania,NA
Acantholabrus palloni,Russia,NA
Acantholabrus palloni,Slovenia,NA
Acantholabrus palloni,Spain,NA
Acantholabrus palloni,Syria,NA
Acantholabrus palloni,Tunisia,14.827914826795135
Acantholabrus palloni,Turkey,0.8509619243232859
Acantholabrus palloni,Ukraine,NA
Acanthopagrus bifasciatus,Albania,NA
Acanthopagrus bifasciatus,Algeria,NA
Acanthopagrus bifasciatus,Bosnia and Herzegovina,NA
Acanthopagrus bifasciatus,Bulgaria,NA
Acanthopagrus bifasciatus,Croatia,18.61511002025545
Acanthopagrus bifasciatus,Cyprus,88.1338205888038
Acanthopagrus bifasciatus,Egypt,NA
Acanthopagrus bifasciatus,France,1.0019994980876148
Acanthopagrus bifasciatus,Georgia,76.99833418703986
Acanthopagrus bifasciatus,Greece,15.693889414686279
Acanthopagrus bifasciatus,Israel,NA
Acanthopagrus bifasciatus,Italy,0.8298697782108242
Acanthopagrus bifasciatus,Lebanon,NA
Acanthopagrus bifasciatus,Libya,NA
Acanthopagrus bifasciatus,Malta,NA
Acanthopagrus bifasciatus,Monaco,NA
Acanthopagrus bifasciatus,Montenegro,100
Acanthopagrus bifasciatus,Morocco,NA
Acanthopagrus bifasciatus,Romania,9.5821630695913
Acanthopagrus bifasciatus,Russia,NA
Acanthopagrus bifasciatus,Slovenia,NA
Acanthopagrus bifasciatus,Spain,NA
Acanthopagrus bifasciatus,Syria,NA
Acanthopagrus bifasciatus,Tunisia,39.44354738820605
Acanthopagrus bifasciatus,Turkey,NA
Acanthopagrus bifasciatus,Ukraine,NA
Acanthostracion notacanthus,Albania,36.32271111078034
Acanthostracion notacanthus,Algeria,5.015333243304649
Acanthostracion notacanthus,Bosnia and Herzegovina,NA
Acanthostracion notacanthus,Bulgaria,6.712317290550006
Acanthostracion notacanthus,Croatia,7.722158589446675
Acanthostracion notacanthus,Cyprus,34.352263514435826
Acanthostracion notacanthus,Egypt,NA
Acanthostracion notacanthus,France,NA
Acanthostracion notacanthus,Georgia,NA
Acanthostracion notacanthus,Greece,3.507844455399426
Acanthostracion notacanthus,Israel,NA
Acanthostracion notacanthus,Italy,0.5107355566325195
Acanthostracion notacanthus,Lebanon,78.73817492555571
Acanthostracion notacanthus,Libya,NA
Acanthostracion notacanthus,Malta,NA
Acanthostracion notacanthus,Monaco,NA
Acanthostracion notacanthus,Montenegro,100
Acanthostracion notacanthus,Morocco,NA
Acanthostracion notacanthus,Romania,4.963926016633296
Acanthostracion notacanthus,Russia,0.5588537614415926
Acanthostracion notacanthus,Slovenia,35.082290089764214
Acanthostracion notacanthus,Spain,NA
Acanthostracion notacanthus,Syria,16.424828260822217
Acanthostracion notacanthus,Tunisia,NA
Acanthostracion notacanthus,Turkey,NA
Acanthostracion notacanthus,Ukraine,NA
Acanthostracion quadricornis,Albania,NA
Acanthostracion quadricornis,Algeria,NA
Acanthostracion quadricornis,Bosnia and Herzegovina,NA
Acanthostracion quadricornis,Bulgaria,1.7023314440185824
Acanthostracion quadricornis,Croatia,NA
Acanthostracion quadricornis,Cyprus,3.42570772896987
Acanthostracion quadricornis,Egypt,0.6285759037572339
Acanthostracion quadricornis,France,0.13292175457570526
Acanthostracion quadricornis,Georgia,NA
Acanthostracion quadricornis,Greece,NA
Acanthostracion quadricornis,Israel,0.5701505474064422
Acanthostracion quadricornis,Italy,0.061042048669779164
Acanthostracion quadricornis,Lebanon,2.4803879978717083
Acanthostracion quadricornis,Libya,9.58310585876057
Acanthostracion quadricornis,Malta,23.104671444302173
Acanthostracion quadricornis,Monaco,100
Acanthostracion quadricornis,Montenegro,8.841656641051063
Acanthostracion quadricornis,Morocco,NA
Acanthostracion quadricornis,Romania,0.40205962668965384
Acanthostracion quadricornis,Russia,NA
Acanthostracion quadricornis,Slovenia,NA
Acanthostracion quadricornis,Spain,0.07051511357180801
Acanthostracion quadricornis,Syria,NA
Acanthostracion quadricornis,Tunisia,NA
Acanthostracion quadricornis,Turkey,NA
Acanthostracion quadricornis,Ukraine,NA
Acanthurus monroviae,Albania,NA
Acanthurus monroviae,Algeria,NA
Acanthurus monroviae,Bosnia and Herzegovina,2.4741212364924285
Acanthurus monroviae,Bulgaria,0.7697447675967486
